route_no,originating_point,terminating_point,stoppages
AC-47,Kundghat,Sapoorji,"['Bagan', 'Bhawan', 'Chingrihata', 'City', 'Crossing', 'Depot', 'Gariahat', 'Kundghat', 'Narkel', 'New', 'Rashbehari', 'Ruby', 'SDF', 'Sapoorji', 'Science', 'Swasthya', 'Tollygunge', 'Town', 'Tram', 'Unitech']"
AC-52,Amtala,Howrah Station,"['Amtala', 'BBD', 'Bag', 'Behala', 'Carzon', 'Crossing', 'Howrah Station', 'Joka', 'Khidirpore', 'Pailan', 'Park', 'Taratala', 'Thakurpukur']"
C7,Howrah Station,HM Ghosh College,"['BNR', 'Babubazar', 'Babughat', 'Ballygunge', 'Bantala', 'Barabazar', 'Bazar', 'Bhoierhat', 'Borali', 'Bosepukur', 'Chowbaga', 'City', 'College', 'Complex', 'Dalhousie', 'Deshapriya', 'Esplanade', 'Fatehpur', 'Garden', 'Gariahat', 'Ghat', 'Ghatatkpukur', 'Ghosh', 'HM Ghosh College', 'Hastings', 'Hospital', 'Howrah Station', 'Kachhi', 'Kantatala', 'Kasba', 'Khidderpore', 'Leather', 'More', 'Muduali', 'Nalmuri', 'Paglarhat', 'Panchannagram', 'Park', 'Phari', 'Princep', 'Rabindra', 'Ramnagar', 'Rashbehari', 'Reach', 'Ruby', 'Sarovar', 'Science', 'Station', 'Tollygunge', 'Uttar', 'VIP', 'sarab']"
C8,Barasat,Joka,"['Airpport', 'B.T', 'Barasat', 'Birati', 'Chinar', 'Chingrighata', 'City', 'Colleg', 'Dackbanglow', 'Eco', 'Joka', 'Kabardanga', 'Madhyamgram', 'More', 'Narkelbagn', 'Newtown', 'Park', 'Rashbihari', 'Ruby', 'Science', 'Sec5', 'Tollygunge']"
C23,Park Circus,Dankuni,"['Airport', 'Bally', 'Chiner', 'Chingrighata', 'Circus', 'City', 'Dakshineswar', 'Dankuni', 'Durganagar', 'Halt', 'Nababpur', 'Nimta', 'Park', 'Park Circus', 'Rabindra', 'Rajchandrapur', 'SDF', 'Science', 'Technopolis', 'Tirtha']"
C26,Rajabazar,Baruipur,"['4no', 'Ajaynagar', 'Baruipur', 'Bazar', 'Bridge', 'Burrabazar', 'Bypass', 'CIT', 'Central', 'Chittaranjan', 'City', 'College', 'Dalhousie', 'Dhalai', 'Esplanade', 'Harinavi', 'Hiland', 'Hospital', 'Howrah Station', 'Kalikapur', 'Kamalgazi', 'Khasmallick', 'More', 'Moulali', 'Mukundapur', 'Narendrapur', 'Padmapukur', 'Panchannagram', 'Park', 'Patuli', 'Peerless', 'Rajabazar', 'Rajpur', 'Road', 'Ruby', 'Science', 'Shibanipith', 'Station', 'Street', 'Topsia', 'Uttar', 'VIP']"
C29,Barasat,Barrackpore,"['Barasat', 'Barbaria', 'Barrackpore', 'Barrackpur', 'Chapuria', 'Chiria', 'Colony', 'Debpukur', 'Jagannathpur', 'Kokapur', 'Mathrangi', 'Mohanpur', 'More', 'Nilgunge', 'Rangapur', 'Station', 'Subhash', 'Wireless']"
C31,Karunamoyee,Bhattanagar,"['Airport', 'Bhattanagar', 'Chiner', 'Durganagar', 'Karunamoyee', 'Nababpur', 'Park', 'Rabindra', 'SDF', 'Technopolis', 'Tirtha']"
C36,Rajabazar,Hanskhali,"['3==', '==End', 'Bally', 'Belurmath', 'College', 'Dakshineswar', 'Esplanade', 'Ghat', 'Hanskhali', 'Lane', 'Nimta', 'OCR', 'PTS', 'Rabindra', 'Rajabazar', 'Route', 'Sadan', 'Sekh', 'Tax', 'Toll', 'for', 'ghat', 'page']"
C37,Amtala,Howrah Station,"['14no', 'Amtala', 'Bazar', 'Behala', 'Bhasha', 'Bishnupur', 'Bridge', 'Dalhousie', 'Ekbalpur', 'Esplanade', 'Hastings', 'Howrah Station', 'Joka', 'Khariberia', 'Khidderpore', 'Majherhat', 'Mominpore', 'Pailan', 'Sakher', 'Shilpara', 'Thakurpukur']"
